EEID,FullName,JobTitle,Department,BusinessUnit,Gender,Ethnicity,Age,HireDate,AnnualSalary,Bonus%,Country,City,ExitDate
E00060,Jason Baldwin,Sr. Manager,Finance,Manufacturing,Female,Black,23,13-01-2002,"$132,364",9%,Brazil,Seattle,########
E00061,Denise Underwood,Analyst,Research,Manufacturing,Male,Other,55,18-10-2017,"$152,063",17%,Brazil,Columbus,########
E00062,Lisa Wilson,Director,IT,Manufacturing,Male,Black,36,19-03-2000,"$100,622",5%,United States,Chongqing,########
E00063,Jennifer Smith,Vice President,Engineering,Speciality,Female,Other,38,07-02-2015,"$87,070",4%,United States,Rio de Janeiro,########
E00064,Lindsay York MD,Engineer,Finance,Corporate,Female,Latino,37,16-09-2010,"$62,576",8%,India,Austin,########
E00065,Carlos Miller,Director,IT,Manufacturing,Male,Other,34,17-01-2017,"$90,587",25%,China,Columbus,########
E00066,Jeffrey Miller,Analyst,Engineering,Speciality,Male,Caucasian,33,03-05-2019,"$113,891",11%,Germany,Seattle,########
E00067,Angela Gutierrez,Manager,Engineering,Speciality,Female,Asian,36,20-04-2018,"$130,947",0%,Brazil,Miami,########
E00068,Joshua Rodriguez,Engineer,Research,Speciality,Female,Black,51,21-12-2021,"$166,344",26%,Brazil,Rio de Janeiro,26-01-2021
E00069,Charlotte Taylor,Coordinator,Sales,Corporate,Male,Other,54,20-08-2018,"$194,154",1%,China,Miami,########
E00070,Natasha Buck,Analyst,Marketing,Corporate,Female,Asian,57,24-07-2004,"$170,754",28%,Germany,Phoenix,########
E00071,Kyle Harris,Consultant,Sales,Speciality,Female,Black,40,11-03-2020,"$190,128",14%,Germany,Seattle,########
E00072,Ann Lewis,Sr. Manager,Finance,Corporate,Female,Black,59,05-05-2023,"$107,235",23%,Brazil,Chongqing,########
E00073,Emily Ibarra,Engineer,IT,Speciality,Male,Black,46,23-10-2007,"$198,808",3%,Brazil,Austin,29-11-2021
E00074,Lisa Humphrey,Manager,IT,Manufacturing,Female,Black,42,21-05-2000,"$182,137",24%,China,Seattle,########
E00075,Jamie Smith,Sr. Manager,Finance,Corporate,Male,Caucasian,26,14-09-2014,"$152,317",30%,United States,Columbus,########
E00076,Daniel Travis,Vice President,Finance,Speciality,Female,Black,40,28-02-1999,"$113,595",13%,Brazil,Chongqing,########
E00077,Rachel Colon,Director,Finance,Speciality,Male,Black,55,25-07-2000,"$110,113",15%,Brazil,Seattle,08-07-2024
E00078,Gregory Sullivan,Coordinator,Research,Corporate,Male,Black,24,08-11-2003,"$115,379",23%,Germany,Manaus,19-03-2020
E00079,Luke Anderson,Consultant,Finance,Speciality,Female,Black,52,02-04-2005,"$131,765",5%,Germany,Chicago,########
E00080,James Johnson,Sr. Manager,Research,Speciality,Female,Caucasian,23,13-04-1999,"$76,971",23%,Germany,Shanghai,########
E00081,Sandra Yates,Vice President,Research,Corporate,Female,Caucasian,41,16-06-2014,"$156,379",3%,Brazil,Chongqing,########
E00082,Daniel Burton,Consultant,Marketing,Manufacturing,Male,Caucasian,49,21-01-2021,"$102,953",4%,India,Chicago,########
E00083,Lauren Johnson,Vice President,Engineering,Speciality,Female,Asian,47,08-06-2021,"$134,772",9%,India,Seattle,########
E00084,Charles Johnson,Sr. Manager,Sales,Manufacturing,Male,Black,44,12-05-2018,"$131,662",20%,Germany,Chicago,########
E00085,Eric Reyes,Analyst,Research,Speciality,Male,Caucasian,51,24-12-2013,"$170,318",20%,Brazil,Austin,15-11-2023
E00086,Catherine Taylor,Technical,Sales,Speciality,Male,Latino,39,04-02-1995,"$123,333",29%,China,Miami,########
E00087,Stacey Thompson,Analyst,Engineering,Speciality,Male,Asian,42,01-05-2021,"$91,678",2%,United States,Rio de Janeiro,########
E00088,Michael Valdez,Consultant,Research,Corporate,Male,Caucasian,46,10-11-2018,"$69,205",7%,Brazil,Chicago,########
E00089,Kevin Jones,Technical,Sales,Manufacturing,Male,Black,22,20-05-2014,"$69,575",0%,Germany,Shanghai,########
E00090,Rhonda Smith,Director,Marketing,Corporate,Male,Caucasian,59,19-01-2023,"$87,425",15%,China,Phoenix,########
E00091,Cindy Smith,Manager,IT,Corporate,Male,Latino,43,22-02-2014,"$189,209",10%,India,Columbus,########
E00092,Jessica Acosta,Engineer,Sales,Speciality,Female,Latino,27,27-12-2003,"$50,528",1%,Germany,Phoenix,########
E00093,Jeremy Anderson,Coordinator,Marketing,Corporate,Female,Latino,45,29-05-2004,"$98,334",1%,India,Rio de Janeiro,########
E00094,Mary Richardson,Manager,IT,Speciality,Female,Latino,57,06-01-2020,"$92,873",4%,India,Rio de Janeiro,18-11-2023
E00095,Chris Ball,Director,IT,Manufacturing,Male,Black,51,07-03-2017,"$104,661",13%,Brazil,Seattle,########
E00096,Amanda Howard,Sr. Manager,Research,Corporate,Male,Black,51,10-12-1997,"$98,541",24%,China,Miami,########
E00097,Willie Gallegos,Coordinator,IT,Manufacturing,Male,Latino,52,21-02-2012,"$174,836",22%,United States,Shanghai,15-12-2022
E00098,Elizabeth Nelson,Consultant,Engineering,Manufacturing,Female,Asian,43,08-09-2021,"$144,850",28%,Brazil,Columbus,########
E00099,Maria Reynolds,Manager,Research,Manufacturing,Male,Other,51,01-01-2017,"$115,617",8%,India,Austin,########
E00100,Elizabeth Green,Sr. Manager,Sales,Corporate,Female,Caucasian,56,26-05-2012,"$149,043",12%,China,Austin,02-08-2023
E00101,Nicole Gilbert,Vice President,Marketing,Speciality,Male,Asian,26,21-06-2021,"$74,918",16%,Germany,Austin,16-11-2020
E00102,Cassandra Dickerson,Consultant,IT,Speciality,Male,Latino,60,23-01-2009,"$97,673",16%,China,Chongqing,########
E00103,Kevin Johnson,Consultant,Engineering,Speciality,Female,Latino,46,04-02-1997,"$127,775",1%,China,Phoenix,########
E00104,Michael Koch,Technical,Finance,Manufacturing,Male,Caucasian,26,21-10-2002,"$93,945",25%,China,Rio de Janeiro,########
E00105,Richard Ballard,Director,Engineering,Speciality,Male,Asian,31,07-08-2016,"$128,506",25%,Brazil,Rio de Janeiro,########
E00106,Richard Weber,Engineer,IT,Speciality,Male,Caucasian,35,17-12-1997,"$56,863",0%,Germany,Chicago,########
E00107,Carolyn Golden,Technical,Sales,Speciality,Female,Caucasian,50,14-05-2000,"$110,909",12%,United States,Shanghai,########
E00108,Tina Price,Vice President,Engineering,Manufacturing,Female,Black,42,01-09-2012,"$98,301",28%,Brazil,Chongqing,########
E00109,William Hudson,Engineer,Marketing,Speciality,Female,Asian,57,30-09-2015,"$187,090",1%,United States,Austin,########
E00110,Lauren Carson,Consultant,Sales,Corporate,Female,Asian,22,21-03-2023,"$98,299",2%,China,Austin,########
E00111,Timothy Hutchinson,Director,Sales,Manufacturing,Male,Other,55,05-12-2002,"$159,427",18%,Brazil,Miami,27-06-2023
E00112,Scott Salinas,Manager,Marketing,Speciality,Male,Caucasian,60,13-12-2004,"$78,967",3%,Brazil,Chongqing,########
E00113,Andrew Jones,Analyst,Engineering,Speciality,Male,Latino,55,21-07-2017,"$66,471",30%,Brazil,Manaus,########
E00114,Lisa Smith,Coordinator,Marketing,Speciality,Female,Other,51,30-11-2000,"$82,275",22%,United States,Chicago,########
E00115,Kenneth Ramos,Coordinator,Sales,Corporate,Male,Asian,52,02-11-2011,"$158,296",20%,United States,Seattle,########
E00116,Jonathon Acosta,Sr. Manager,IT,Manufacturing,Male,Black,33,15-03-1999,"$184,009",4%,China,Manaus,14-04-2021
E00117,Nathaniel Gutierrez,Sr. Manager,Finance,Speciality,Female,Asian,55,01-07-2013,"$58,667",15%,India,Phoenix,########
E00118,Brittany Arias,Technical,Engineering,Speciality,Male,Caucasian,35,21-06-2006,"$72,732",5%,Germany,Rio de Janeiro,########
E00119,Janet Callahan,Sr. Manager,Finance,Corporate,Female,Latino,51,20-11-2023,"$149,967",24%,United States,Shanghai,########
E00120,Wesley Medina,Coordinator,Marketing,Manufacturing,Male,Latino,37,26-10-2001,"$101,702",17%,India,Columbus,########
E00121,Jennifer Daniel,Sr. Manager,Engineering,Corporate,Male,Asian,23,20-12-2022,"$149,192",22%,Germany,Phoenix,########
E00122,Andrea Cochran,Coordinator,Finance,Manufacturing,Male,Asian,50,19-11-2021,"$101,609",27%,United States,Manaus,01-12-2022
E00123,Andrea Stewart,Consultant,IT,Corporate,Female,Asian,53,15-12-2003,"$196,392",24%,Brazil,Phoenix,########
E00124,Amy Long,Director,Finance,Manufacturing,Female,Latino,58,27-08-2009,"$179,715",10%,Brazil,Manaus,########
E00125,Elizabeth Snow,Manager,Research,Manufacturing,Female,Black,31,10-11-2018,"$192,330",12%,Germany,Columbus,########
E00126,Nancy Gonzalez,Sr. Manager,Research,Manufacturing,Female,Latino,41,03-01-2016,"$85,184",6%,India,Seattle,########
E00127,Thomas Zimmerman,Analyst,IT,Manufacturing,Male,Latino,26,25-04-2015,"$56,262",27%,India,Phoenix,########
E00128,Derrick Hunter,Vice President,Engineering,Manufacturing,Female,Other,46,21-03-2010,"$152,101",24%,Germany,Columbus,########
E00129,Austin Williams,Engineer,Finance,Corporate,Male,Latino,27,15-02-2019,"$154,288",14%,Brazil,Chicago,21-05-2024
E00130,Lynn Perez,Coordinator,Finance,Manufacturing,Male,Other,59,26-01-2018,"$140,422",19%,India,Chongqing,########
E00131,Lauren Guerrero,Director,IT,Speciality,Male,Black,54,25-08-2015,"$58,647",14%,Germany,Chicago,25-01-2021
E00132,Steven Washington,Coordinator,Sales,Manufacturing,Female,Latino,53,27-01-2023,"$92,306",2%,Germany,Seattle,########
E00133,Samuel Martinez,Manager,Research,Corporate,Female,Other,52,06-06-2023,"$87,839",18%,Germany,Seattle,########
E00134,Nicole West,Director,Research,Corporate,Female,Black,54,25-01-1996,"$72,586",18%,Germany,Chicago,14-11-2024
E00135,Rachel Jones,Vice President,Sales,Corporate,Female,Asian,56,13-03-1997,"$88,023",25%,United States,Manaus,########
E00136,William Cannon,Analyst,Finance,Corporate,Female,Black,52,01-02-2021,"$121,251",10%,China,Austin,########
E00137,Edward Douglas,Consultant,Engineering,Corporate,Male,Other,47,01-08-2012,"$189,411",4%,China,Miami,########
E00138,Richard Young,Director,IT,Speciality,Female,Asian,40,17-05-1997,"$135,359",18%,India,Columbus,########
E00139,Desiree Swanson,Manager,Marketing,Manufacturing,Female,Black,46,05-11-2004,"$149,509",13%,United States,Manaus,########
E00140,Teresa Mcguire,Technical,Marketing,Speciality,Female,Black,43,20-02-2007,"$107,790",7%,China,Manaus,########
E00141,Scott Hunt,Manager,Research,Manufacturing,Male,Latino,50,09-04-2020,"$138,281",11%,India,Columbus,########
E00142,Sharon Carter,Vice President,Sales,Corporate,Male,Caucasian,47,11-10-2006,"$171,635",9%,Brazil,Chicago,########
E00143,Matthew Graham,Coordinator,Research,Manufacturing,Male,Latino,35,10-11-2005,"$54,146",18%,Germany,Shanghai,15-03-2024
E00144,Kimberly Miller,Analyst,Research,Speciality,Male,Caucasian,34,03-05-2006,"$152,196",5%,Germany,Shanghai,########
E00145,Eric Moody,Engineer,Finance,Manufacturing,Female,Other,22,21-12-1998,"$97,528",11%,United States,Rio de Janeiro,########
E00146,Elizabeth Mcintosh,Consultant,Finance,Speciality,Male,Latino,51,01-01-2013,"$192,081",19%,Germany,Seattle,########
E00147,Angela Brown,Sr. Manager,Research,Corporate,Female,Other,38,23-10-2020,"$190,587",4%,China,Chicago,########
E00148,Jon Leblanc,Technical,Finance,Corporate,Male,Asian,48,07-05-1999,"$88,227",4%,India,Austin,########
E00149,Ashley Rogers,Coordinator,Research,Speciality,Female,Caucasian,25,28-01-2015,"$154,524",2%,United States,Chongqing,########
E00150,Dana Parker,Manager,Marketing,Speciality,Female,Black,52,01-01-2001,"$90,135",30%,China,Chongqing,########
E00151,Christopher Ward,Director,IT,Manufacturing,Female,Asian,48,26-05-2023,"$61,042",12%,Brazil,Austin,########
E00152,Suzanne Parker,Technical,Sales,Corporate,Male,Caucasian,41,27-06-2013,"$147,938",30%,Brazil,Miami,########
E00153,Stacy Evans,Consultant,Engineering,Corporate,Male,Black,45,22-03-2007,"$119,321",30%,China,Seattle,########
E00154,James Rogers,Director,IT,Corporate,Female,Caucasian,58,04-09-2018,"$197,932",6%,Germany,Miami,########
E00155,Dana Obrien,Technical,Research,Corporate,Male,Asian,38,28-10-1998,"$151,159",23%,India,Manaus,18-08-2023
E00156,David Morris,Coordinator,IT,Speciality,Female,Black,24,17-12-2010,"$191,899",29%,China,Phoenix,########
E00157,Cynthia Benitez,Coordinator,Sales,Speciality,Female,Black,39,25-03-2006,"$91,817",20%,Germany,Shanghai,########
E00158,Brian Harris,Engineer,Marketing,Manufacturing,Male,Caucasian,35,09-02-1999,"$179,092",2%,India,Austin,########
E00159,Brian Cox,Engineer,Sales,Speciality,Female,Asian,26,03-09-2013,"$112,024",10%,Germany,Chongqing,13-10-2021
E00160,Mark Franco,Engineer,Sales,Manufacturing,Male,Other,53,24-11-2005,"$193,752",1%,India,Miami,########
E00161,Ashley Lee,Manager,Finance,Manufacturing,Male,Latino,55,15-04-2000,"$194,752",14%,Brazil,Austin,########
E00162,Michelle Young,Consultant,Finance,Speciality,Female,Other,59,05-08-1995,"$96,670",22%,Brazil,Phoenix,########
E00163,Kayla Stewart,Engineer,Sales,Speciality,Male,Caucasian,44,09-11-2015,"$98,256",1%,Brazil,Austin,########
E00164,David Robinson,Manager,Marketing,Speciality,Male,Caucasian,45,07-07-2022,"$100,723",16%,India,Chongqing,########
E00165,Wesley Black,Manager,Marketing,Corporate,Female,Asian,49,15-09-2019,"$191,012",10%,United States,Shanghai,########
E00166,Dana Walsh,Director,Finance,Corporate,Female,Caucasian,59,17-12-2014,"$119,242",11%,China,Seattle,########
E00167,Kayla Maldonado,Analyst,IT,Corporate,Female,Asian,28,28-08-2013,"$109,416",16%,United States,Chicago,########
E00168,Susan Johnson,Vice President,Engineering,Speciality,Female,Caucasian,27,31-01-1999,"$60,088",10%,China,Shanghai,########
E00169,Thomas Miller,Technical,Research,Corporate,Female,Black,41,02-05-2003,"$89,201",21%,Brazil,Manaus,########
E00170,April Lyons,Vice President,Finance,Manufacturing,Male,Black,25,22-11-1998,"$191,419",5%,Brazil,Miami,########
E00171,Ashley Kelly,Engineer,IT,Manufacturing,Female,Asian,60,04-04-2023,"$124,786",0%,United States,Rio de Janeiro,########
E00172,Emily Mendoza,Technical,Sales,Corporate,Female,Black,48,13-05-1998,"$134,538",19%,Germany,Manaus,05-07-2022
E00173,Ashley Hayes,Consultant,Finance,Corporate,Male,Other,31,21-09-2022,"$156,046",2%,China,Chongqing,########
E00174,Kelly Baker,Consultant,Research,Manufacturing,Male,Caucasian,30,21-10-2015,"$99,456",15%,India,Phoenix,########
E00175,David Parker,Analyst,Sales,Speciality,Female,Asian,31,22-12-2019,"$141,315",2%,Germany,Seattle,########
E00176,Shane Collins,Manager,IT,Corporate,Male,Asian,50,24-06-2004,"$86,950",3%,Brazil,Shanghai,########
E00177,Mitchell Yates,Manager,Research,Manufacturing,Male,Asian,33,31-08-2022,"$115,580",30%,China,Miami,########
E00178,Jacqueline Hernandez,Director,Finance,Corporate,Male,Latino,49,14-05-2000,"$62,047",23%,Brazil,Rio de Janeiro,########
E00179,Christina Harris,Engineer,Research,Speciality,Male,Asian,45,12-08-2005,"$183,889",15%,Brazil,Columbus,########
E00180,Jesus Jones,Analyst,Engineering,Corporate,Female,Caucasian,56,05-07-2022,"$99,349",26%,Germany,Austin,########
E00181,Jenna Leonard,Director,Sales,Speciality,Male,Black,25,14-05-2000,"$131,824",25%,Brazil,Shanghai,########
E00182,Curtis Richardson,Consultant,Marketing,Speciality,Female,Other,26,29-11-2022,"$105,778",11%,Brazil,Seattle,########
E00183,Michelle Ortiz,Director,Research,Corporate,Male,Caucasian,27,24-10-2008,"$84,606",27%,Germany,Seattle,14-02-2022
E00184,Perry Holmes,Engineer,Finance,Manufacturing,Female,Asian,44,25-04-2012,"$108,611",13%,United States,Manaus,########
E00185,Michelle Robinson,Manager,Finance,Manufacturing,Male,Caucasian,30,14-05-2010,"$185,504",18%,Brazil,Chongqing,25-02-2022
E00186,Kristen Pham,Manager,Research,Speciality,Female,Asian,39,28-06-1997,"$112,838",25%,India,Austin,########
E00187,Brian Turner,Director,Sales,Manufacturing,Female,Latino,28,06-07-2017,"$164,588",16%,China,Manaus,########
E00188,Mr. Michael Price,Sr. Manager,Research,Corporate,Female,Caucasian,22,28-02-2012,"$59,236",10%,Germany,Chongqing,########
E00189,Samantha Alvarado,Sr. Manager,Engineering,Speciality,Female,Latino,52,16-04-1999,"$188,652",22%,Germany,Columbus,########
E00190,Mary Barrett,Technical,Finance,Manufacturing,Female,Caucasian,51,04-05-2009,"$77,373",25%,Brazil,Shanghai,17-06-2021
E00191,Lori Cannon,Analyst,IT,Manufacturing,Female,Caucasian,55,27-03-2009,"$192,576",6%,Brazil,Seattle,########
E00192,Madison Phillips,Coordinator,Sales,Corporate,Female,Caucasian,55,10-05-2014,"$89,239",2%,Brazil,Austin,########
E00193,Dr. Marie Blair MD,Analyst,Finance,Corporate,Female,Other,35,10-03-2012,"$95,182",6%,United States,Chongqing,########
E00194,Allison Miles,Engineer,Marketing,Manufacturing,Male,Caucasian,38,15-05-2006,"$110,888",30%,United States,Chongqing,########
E00195,Steven Lopez,Vice President,Engineering,Speciality,Male,Caucasian,54,12-08-2003,"$124,507",23%,Brazil,Manaus,23-05-2022
E00196,Lisa Powers,Analyst,Marketing,Speciality,Male,Asian,33,03-03-2017,"$50,526",5%,China,Manaus,########
E00197,Connor Adkins,Sr. Manager,Engineering,Manufacturing,Female,Caucasian,47,16-04-2004,"$149,824",28%,United States,Miami,########
E00198,Sierra Johnson,Manager,Engineering,Speciality,Male,Black,50,01-11-2014,"$105,947",9%,Brazil,Chicago,########
E00199,Pedro Woods,Consultant,Marketing,Manufacturing,Female,Asian,49,06-03-2007,"$170,491",18%,India,Chicago,########
E00200,Kimberly Smith,Engineer,Finance,Corporate,Male,Caucasian,40,23-10-2015,"$196,105",6%,Germany,Miami,27-10-2022
E00201,John Castillo,Vice President,Engineering,Manufacturing,Female,Latino,44,22-08-2010,"$83,027",13%,China,Seattle,30-10-2020
E00202,Ashley Gomez,Consultant,Marketing,Speciality,Female,Black,38,18-09-1995,"$60,243",18%,Germany,Seattle,07-11-2023
E00203,Alan Jenkins,Technical,Finance,Corporate,Male,Black,24,16-04-2021,"$158,651",0%,Brazil,Seattle,########
E00204,Todd Mccarthy,Vice President,Finance,Manufacturing,Male,Caucasian,48,03-08-2008,"$54,012",16%,Brazil,Chongqing,########
E00205,Kenneth Howard,Consultant,Finance,Corporate,Female,Latino,47,03-01-2013,"$134,186",16%,India,Shanghai,########
E00206,Patrick Lewis,Director,Sales,Manufacturing,Male,Other,28,04-10-2009,"$113,324",6%,China,Chicago,07-08-2024
E00207,Audrey Adams,Sr. Manager,Sales,Manufacturing,Male,Other,39,02-12-2018,"$178,866",3%,Germany,Phoenix,########
E00208,Stephen Gibbs,Vice President,Research,Corporate,Female,Black,41,08-11-1999,"$145,690",21%,Brazil,Rio de Janeiro,########
E00209,William Branch,Consultant,Sales,Manufacturing,Male,Caucasian,28,28-01-2017,"$89,522",21%,India,Chicago,########
E00210,Alexis Petty,Sr. Manager,Finance,Manufacturing,Male,Latino,37,07-12-2004,"$185,839",8%,China,Manaus,########
E00211,Tiffany Dyer,Manager,Sales,Speciality,Male,Asian,43,16-06-2017,"$58,528",24%,United States,Rio de Janeiro,########
E00212,Dana Gordon,Coordinator,Research,Speciality,Female,Latino,27,23-03-2004,"$186,566",6%,India,Miami,########
E00213,Julian Wong,Engineer,Sales,Manufacturing,Female,Caucasian,50,28-09-1998,"$97,459",0%,Brazil,Seattle,########
E00214,Stephanie Hicks,Sr. Manager,IT,Speciality,Male,Other,34,22-10-2013,"$149,840",25%,India,Seattle,########
E00215,Sherry Anderson,Consultant,Sales,Corporate,Female,Asian,57,26-01-2000,"$125,492",19%,Germany,Rio de Janeiro,13-03-2023
E00216,Ryan King,Coordinator,IT,Speciality,Male,Black,36,18-03-2023,"$135,906",6%,United States,Austin,########
